id,title,overview,tmdbId,vote_average,vote_count,genres,adult,release_date,production_companies,poster_path
147066,"$100,000 for Ringo","A stranger rides into Rainbow Valley where he's mistaken for a former resident who was believed killed in the Civil War and soon finds himself in opposition to local boss Tom Cherry, who seeks to find $100,000 stashed away by a Mexican general.",158079,5.0,1.0,"18,37",false,1965-11-18,"[{'name': 'Fida cinematografica', 'id': 73}, {'name': 'Balcázar Producciones Cinematográficas', 'id': 1428}]",posters\147066.jpg
160842,'Master Harold'... and the Boys,"\"Master Harold\" is what the black employees are ordered to call young Hally, the son of a well-to-do white couple who own a fashionable tea room. Hally wanders into the establishment one day and sees two black male workers practicing for an upcoming ballroom competition by dancing together. The two employees and Hally exchange kidding rebukes, not meant to offend anyone. But after Hally receives some bad news about his father, he takes out his anger upon the workers. Efforts to smooth out the situation erupt into an all-out racial conflict.",82942,6.3,3.0,18,false,1985-01-01,"[{'name': 'Lorimar Pictures', 'id': 8307}]",posters\160842.jpg
155892,00 Schneider - Jagd auf Nihil Baxter,"The funny clown Bratislav Metulskie is found dead in circus \"Apollo\". The retired commissioner 00 Schneider is asked to assume control of the case. Schneider and his aged sidekick Körschgen investigate to find the murderer.",1652,6.5,16.0,"35,80",false,1994-12-21,"[{'name': 'Senator Film Produktion', 'id': 191}]",posters\155892.jpg
132148,008: Operation Exterminate,"The British Secret Service sends agent 006 (Alberto Lupo) to Cairo, to collaborate with an American colleague in searching for a stolen anti-radar device. Arriving in Egypt, he finds that agent 008 is actually an attractive female (played by Ingrid Schoeller). But they soon find out that the assignment won’t be a picnic, as a criminal mastermind named Kemp has sent his henchmen out to destroy them.",254321,0.0,0.0,"28,35,10769",false,1965-09-03,"[{'name': 'Copro Films', 'id': 11892}]",posters\132148.jpg
79293,06/05,"A fictional version of the events that led to the assassination of the Dutch politician Pim Fortuyn on May 6, 2002. The movie is based upon the book \"The sixth of May\" by Tomas Ross.",30860,5.6,6.0,18,false,2004-12-15,[],posters\79293.jpg
145100,100 Days,"Devi is gifted with Extra Sensory Perception (ESP). Her gift comes to light one day while playing tennis with her friend, Sudha, when she has a vision of her sister, Rama, being shot to death by a man in a black raincoat. She telephones Rama, finds she is safe and is relieved. Shortly thereafter Rama disappears, the police are notified, but are unable to find any trace of her. Devi then meets multi-millionaire, Ram Kumar, both fall in love and get married. She moves into his once abandoned and legally disputed bungalow, and that's when she starts having visions again. These visions lead her to a wall that is loosely plastered",55627,0.0,0.0,"10749,53",false,1991-01-01,"[{'name': 'Jayvijay Enterprises', 'id': 92631}]",posters\145100.jpg
171057,100 Women,"A young man returns to his ex-girlfriend and true love to discover the source of her increasing depression. As the young man earnestly tries to help his girlfriend through her troubles, their love begins to bloom.",20648,4.7,9.0,"35,10749",false,2002-10-18,"[{'name': 'Dream Entertainment', 'id': 1630}]",posters\171057.jpg
142020,1001 Grams,"When Norwegian scientist Marie attends a seminar in Paris on the actual weight of a kilo, it is her own measurement of disappointment, grief and, not least, love, that ends up on the scale. Finally Marie is forced to come to terms with how much a human life truly weighs and which measurements she intends to live by.",285181,5.7,11.0,18,false,2014-09-07,"[{'name': 'Bulbul Films', 'id': 4227}, {'name': 'CinePostproduction', 'id': 32510}]",posters\142020.jpg
158669,11/11/11,"Jack and Melissa are frightened by their son's bizarre and violent behavior; they soon learn that he is the gateway to the Apocalypse, and it will happen on his birthday, 11-11-11.",79078,2.2,13.0,"27,53",false,2011-11-01,[],posters\158669.jpg
27805,11:11,"Eighteen years after the murder of her parents, Sara Tobias searches for the meaning of the numbers '11:11' that was scratched in blood beside her mother's body. Following three sudden murders, supernatural events are unleashed as she gets closer to the truth.",16843,2.7,15.0,27,false,2004-02-01,[],posters\27805.jpg
69906,12 Rounds,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.",17134,5.7,223.0,"28,12,18,53",false,2009-03-19,"[{'name': 'The Mark Gordon Company', 'id': 1557}, {'name': 'Fox Atomic', 'id': 2890}, {'name': '20th Century Fox Home Entertainment', 'id': 3635}, {'name': 'WWE Studios', 'id': 10339}, {'name': 'Midnight Sun Pictures', 'id': 17887}]",posters\69906.jpg
